ID,SL,SW,PL,PW,Species
50,6.4,3.2,4.5,1.5,Iris-Versicolor
51,6.9,3.1,4.9,1.5,Iris-Versicolor
52,5.5,2.3,4.0,1.3,Iris-Versicolor
53,6.5,2.8,4.6,1.5,Iris-Versicolor
54,5.7,2.8,4.5,1.3,Iris-Versicolor
55,6.3,3.3,4.7,1.6,Iris-Versicolor
56,4.9,2.4,3.3,1.0,Iris-Versicolor
57,6.6,2.9,4.6,1.3,Iris-Versicolor
58,5.2,2.7,3.9,1.4,Iris-Versicolor
59,5.0,2.0,3.5,1.0,Iris-Versicolor
60,5.9,3.0,4.2,1.5,Iris-Versicolor
61,6.0,2.2,4.0,1.0,Iris-Versicolor
62,6.1,2.9,4.7,1.4,Iris-Versicolor
63,5.6,2.9,3.6,1.3,Iris-Versicolor
64,6.7,3.1,4.4,1.4,Iris-Versicolor
65,5.6,3.0,4.5,1.5,Iris-Versicolor
66,5.8,2.7,4.1,1.0,Iris-Versicolor
67,6.2,2.2,4.5,1.5,Iris-Versicolor
68,5.6,2.5,3.9,1.1,Iris-Versicolor
69,5.9,3.2,4.8,1.8,Iris-Versicolor
70,6.1,2.8,4.0,1.3,Iris-Versicolor
71,6.3,2.5,4.9,1.5,Iris-Versicolor
72,6.1,2.8,4.7,1.2,Iris-Versicolor
73,6.4,2.9,4.3,1.3,Iris-Versicolor
74,6.6,3.0,4.4,1.4,Iris-Versicolor
75,6.8,2.8,4.8,1.4,Iris-Versicolor
76,6.7,3.0,5.0,1.7,Iris-Versicolor
77,6.0,2.9,4.5,1.5,Iris-Versicolor
78,5.7,2.6,3.5,1.0,Iris-Versicolor
79,5.5,2.4,3.8,1.1,Iris-Versicolor
80,5.5,2.4,3.7,1.0,Iris-Versicolor
81,5.8,2.7,3.9,1.2,Iris-Versicolor
82,6.0,2.7,5.1,1.6,Iris-Versicolor
83,5.4,3.0,4.5,1.5,Iris-Versicolor
84,6.0,3.4,4.5,1.6,Iris-Versicolor
85,6.7,3.1,4.7,1.5,Iris-Versicolor
86,6.3,2.3,4.4,1.3,Iris-Versicolor
87,5.6,3.0,4.1,1.3,Iris-Versicolor
88,5.5,2.5,4.0,1.3,Iris-Versicolor
89,5.5,2.6,4.4,1.2,Iris-Versicolor
90,6.1,3.0,4.6,1.4,Iris-Versicolor
91,5.8,2.6,4.0,1.2,Iris-Versicolor
92,5.0,2.3,3.3,1.0,Iris-Versicolor
93,5.6,2.7,4.2,1.3,Iris-Versicolor
94,5.7,3.0,4.2,1.2,Iris-Versicolor
95,5.7,2.9,4.2,1.3,Iris-Versicolor
96,6.2,2.9,4.3,1.3,Iris-Versicolor
97,5.1,2.5,3.0,1.1,Iris-Versicolor
98,5.7,2.8,4.1,1.3,Iris-Versicolor
99,6.3,3.3,6.0,2.5,Iris-Virginica
100,5.8,2.7,5.1,1.9,Iris-Virginica
101,7.1,3.0,5.9,2.1,Iris-Virginica
102,6.3,2.9,5.6,1.8,Iris-Virginica
103,6.5,3.0,5.8,2.2,Iris-Virginica
104,7.6,3.0,6.6,2.1,Iris-Virginica
105,4.9,2.5,4.5,1.7,Iris-Virginica
106,7.3,2.9,6.3,1.8,Iris-Virginica
107,6.7,2.5,5.8,1.8,Iris-Virginica
108,7.2,3.6,6.1,2.5,Iris-Virginica
109,6.5,3.2,5.1,2.0,Iris-Virginica
110,6.4,2.7,5.3,1.9,Iris-Virginica
111,6.8,3.0,5.5,2.1,Iris-Virginica
112,5.7,2.5,5.0,2.0,Iris-Virginica
113,5.8,2.8,5.1,2.4,Iris-Virginica
114,6.4,3.2,5.3,2.3,Iris-Virginica
115,6.5,3.0,5.5,1.8,Iris-Virginica
116,7.7,3.8,6.7,2.2,Iris-Virginica
117,7.7,2.6,6.9,2.3,Iris-Virginica
118,6.0,2.2,5.0,1.5,Iris-Virginica
119,6.9,3.2,5.7,2.3,Iris-Virginica
120,5.6,2.8,4.9,2.0,Iris-Virginica
121,7.7,2.8,6.7,2.0,Iris-Virginica
122,6.3,2.7,4.9,1.8,Iris-Virginica
123,6.7,3.3,5.7,2.1,Iris-Virginica
124,7.2,3.2,6.0,1.8,Iris-Virginica
125,6.2,2.8,4.8,1.8,Iris-Virginica
126,6.1,3.0,4.9,1.8,Iris-Virginica
127,6.4,2.8,5.6,2.1,Iris-Virginica
128,7.2,3.0,5.8,1.6,Iris-Virginica
129,7.4,2.8,6.1,1.9,Iris-Virginica
130,7.9,3.8,6.4,2.0,Iris-Virginica
131,6.4,2.8,5.6,2.2,Iris-Virginica
132,6.3,2.8,5.1,1.5,Iris-Virginica
133,6.1,2.6,5.6,1.4,Iris-Virginica
134,7.7,3.0,6.1,2.3,Iris-Virginica
135,6.3,3.4,5.6,2.4,Iris-Virginica
136,6.4,3.1,5.5,1.8,Iris-Virginica
137,6.0,3.0,4.8,1.8,Iris-Virginica
138,6.9,3.1,5.4,2.1,Iris-Virginica
139,6.7,3.1,5.6,2.4,Iris-Virginica
140,6.9,3.1,5.1,2.3,Iris-Virginica
141,5.8,2.7,5.1,1.9,Iris-Virginica
142,6.8,3.2,5.9,2.3,Iris-Virginica
143,6.7,3.3,5.7,2.5,Iris-Virginica
144,6.7,3.0,5.2,2.3,Iris-Virginica
145,6.3,2.5,5.0,1.9,Iris-Virginica
146,6.5,3.0,5.2,2.0,Iris-Virginica
147,6.2,3.4,5.4,2.3,Iris-Virginica
148,5.9,3.0,5.1,1.8,Iris-Virginica
